Datetime,Trial,Wig,Thermocouple,temp,Radiation,WindSpeed
2018-10-23T16:07:46Z,1,Nude,2,27.9,Off,2.5
2018-10-23T16:07:46Z,1,Nude,3,28.8,Off,2.5
2018-10-23T16:07:46Z,1,Nude,4,30.2,Off,2.5
2018-10-23T16:08:16Z,1,Nude,1,26,Off,2.5
2018-10-23T16:08:16Z,1,Nude,2,28.1,Off,2.5
2018-10-23T16:08:16Z,1,Nude,3,28.9,Off,2.5
2018-10-23T16:08:16Z,1,Nude,4,30.1,Off,2.5
2018-10-23T16:08:46Z,1,Nude,1,25.9,Off,2.5
2018-10-23T16:08:46Z,1,Nude,2,28.2,Off,2.5
2018-10-23T16:08:46Z,1,Nude,3,28.9,Off,2.5
2018-10-23T16:08:46Z,1,Nude,4,30,Off,2.5
2018-10-23T16:09:16Z,1,Nude,1,25.8,Off,2.5
2018-10-23T16:09:16Z,1,Nude,2,28,Off,2.5
2018-10-23T16:09:16Z,1,Nude,3,28.8,Off,2.5
2018-10-23T16:09:16Z,1,Nude,4,30.3,Off,2.5
2018-10-23T16:09:46Z,1,Nude,1,25.9,Off,2.5
2018-10-23T16:09:46Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:09:46Z,1,Nude,3,28.7,Off,2.5
2018-10-23T16:09:46Z,1,Nude,4,30.3,Off,2.5
2018-10-23T16:10:16Z,1,Nude,1,25.8,Off,2.5
2018-10-23T16:10:16Z,1,Nude,2,28.2,Off,2.5
2018-10-23T16:10:16Z,1,Nude,3,28.9,Off,2.5
2018-10-23T16:10:16Z,1,Nude,4,30.3,Off,2.5
2018-10-23T16:10:46Z,1,Nude,1,25.6,Off,2.5
2018-10-23T16:10:46Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:10:46Z,1,Nude,3,28.7,Off,2.5
2018-10-23T16:10:46Z,1,Nude,4,30.4,Off,2.5
2018-10-23T16:11:16Z,1,Nude,1,25.8,Off,2.5
2018-10-23T16:11:16Z,1,Nude,2,28.2,Off,2.5
2018-10-23T16:11:16Z,1,Nude,3,28.8,Off,2.5
2018-10-23T16:11:16Z,1,Nude,4,30.1,Off,2.5
2018-10-23T16:11:46Z,1,Nude,1,25.7,Off,2.5
